@RELATION demanda_lavadero_jornada_clasificada

@ATTRIBUTE Dia_Semana {Lunes, Martes, Miercoles, Jueves, Viernes, Sabado, Domingo}
@ATTRIBUTE Jornada {Mañana, Tarde, Noche}
@ATTRIBUTE Clima {Soleado, Lluvioso, Nublado}
@ATTRIBUTE Temperatura NUMERIC
@ATTRIBUTE Tipo_Servicio {Basico, Completo, Premium}
@ATTRIBUTE Historial_Visitas NUMERIC
@ATTRIBUTE Promociones_Activas {Si, No}
@ATTRIBUTE Clientes_Estimados {Baja, Media, Alta}

@DATA
Domingo,Tarde,Soleado,25.4,Completo,17,Si,Alta
Jueves,Mañana,Soleado,23.3,Premium,7,Si,Alta
Domingo,Noche,Nublado,18.3,Premium,8,Si,Alta
Lunes,Noche,Soleado,26.9,Premium,12,No,Alta
Jueves,Tarde,Nublado,22.0,Basico,3,Si,Alta
Domingo,Tarde,Soleado,30.2,Basico,12,No,Alta
Martes,Noche,Lluvioso,14.3,Basico,1,No,Baja
Viernes,Noche,Nublado,25.7,Premium,11,No,Alta
Jueves,Tarde,Soleado,32.5,Completo,10,No,Alta
Sabado,Tarde,Lluvioso,20.5,Basico,0,Si,Media
Jueves,Mañana,Nublado,27.9,Premium,5,Si,Media
Jueves,Mañana,Nublado,23.7,Premium,3,Si,Media
Sabado,Mañana,Soleado,25.2,Completo,4,Si,Media
Lunes,Noche,Soleado,20.6,Completo,8,Si,Media
Miercoles,Mañana,Nublado,25.9,Premium,13,No,Media
Martes,Mañana,Lluvioso,12.7,Basico,4,Si,Alta
Viernes,Tarde,Nublado,21.0,Basico,1,Si,Media
Domingo,Tarde,Soleado,22.5,Basico,9,Si,Alta
Miercoles,Noche,Nublado,28.6,Premium,7,Si,Alta
Lunes,Mañana,Nublado,27.9,Completo,2,No,Baja
Viernes,Noche,Lluvioso,16.1,Completo,11,Si,Alta
Viernes,Tarde,Lluvioso,10.7,Completo,5,No,Baja
Sabado,Noche,Lluvioso,20.2,Premium,8,No,Baja
Martes,Tarde,Soleado,33.4,Premium,2,Si,Media
Lunes,Tarde,Soleado,34.8,Completo,8,Si,Alta
Viernes,Mañana,Lluvioso,16.1,Premium,3,Si,Baja
Viernes,Tarde,Nublado,23.2,Completo,7,No,Media
Viernes,Tarde,Soleado,26.4,Premium,17,No,Alta
Sabado,Mañana,Soleado,31.9,Completo,17,Si,Alta
Lunes,Tarde,Nublado,17.0,Completo,3,No,Media
Domingo,Mañana,Nublado,26.8,Basico,8,Si,Baja
Miercoles,Tarde,Nublado,23.8,Basico,9,Si,Media
Jueves,Mañana,Lluvioso,19.6,Completo,13,Si,Media
Jueves,Noche,Nublado,24.0,Premium,11,Si,Alta
Jueves,Noche,Lluvioso,17.6,Premium,3,Si,Media
Lunes,Tarde,Lluvioso,11.9,Premium,7,No,Media
Jueves,Tarde,Lluvioso,23.7,Premium,9,Si,Alta
Jueves,Mañana,Lluvioso,14.0,Basico,8,Si,Media
Lunes,Noche,Nublado,15.7,Completo,11,Si,Alta
Viernes,Noche,Lluvioso,21.6,Premium,12,Si,Media
Jueves,Mañana,Lluvioso,24.0,Basico,15,Si,Alta
Martes,Noche,Nublado,29.5,Premium,20,Si,Alta
Martes,Mañana,Soleado,31.7,Premium,10,Si,Alta
Jueves,Tarde,Soleado,21.8,Basico,14,No,Alta
Domingo,Mañana,Nublado,18.8,Completo,3,Si,Media
Lunes,Mañana,Soleado,28.0,Basico,9,No,Alta
Jueves,Mañana,Nublado,25.8,Basico,1,No,Baja
Jueves,Noche,Nublado,29.2,Premium,20,Si,Alta
Miercoles,Mañana,Nublado,22.6,Premium,19,Si,Media
Sabado,Tarde,Nublado,23.3,Basico,10,Si,Media
Martes,Mañana,Nublado,29.5,Completo,5,Si,Media
Martes,Mañana,Lluvioso,20.9,Premium,12,No,Baja
Miercoles,Noche,Nublado,29.4,Basico,3,Si,Media
Domingo,Noche,Soleado,22.2,Basico,14,Si,Alta
Jueves,Noche,Lluvioso,19.5,Completo,17,No,Media
Sabado,Tarde,Nublado,28.8,Premium,1,Si,Media
Jueves,Mañana,Nublado,26.8,Basico,6,Si,Media
Sabado,Tarde,Soleado,26.3,Completo,18,Si,Alta
Sabado,Noche,Soleado,28.9,Completo,6,No,Alta
Miercoles,Tarde,Soleado,32.8,Completo,9,No,Alta
Miercoles,Mañana,Lluvioso,21.1,Completo,11,Si,Media
Domingo,Tarde,Soleado,32.9,Completo,8,No,Alta
Miercoles,Noche,Nublado,29.7,Premium,11,No,Baja
Jueves,Tarde,Soleado,22.3,Premium,3,Si,Alta
Jueves,Noche,Nublado,17.2,Completo,2,No,Alta
Lunes,Noche,Nublado,22.6,Premium,14,Si,Alta
Miercoles,Mañana,Soleado,23.7,Basico,18,Si,Alta
Lunes,Mañana,Lluvioso,18.5,Basico,17,Si,Alta
Sabado,Tarde,Soleado,25.2,Basico,19,Si,Media
Domingo,Noche,Lluvioso,10.7,Premium,2,No,Media
Lunes,Mañana,Soleado,24.1,Premium,9,Si,Media
Martes,Noche,Lluvioso,21.5,Completo,12,No,Alta
Jueves,Mañana,Nublado,16.7,Completo,8,No,Baja
Miercoles,Tarde,Lluvioso,13.6,Completo,12,No,Media
Viernes,Noche,Soleado,32.4,Premium,9,Si,Media
Martes,Mañana,Lluvioso,13.6,Completo,19,Si,Media
Lunes,Tarde,Nublado,22.7,Premium,1,No,Media
Miercoles,Tarde,Soleado,28.5,Premium,4,Si,Alta
Jueves,Tarde,Lluvioso,10.9,Completo,8,No,Media
Martes,Mañana,Lluvioso,17.5,Basico,16,No,Media
Viernes,Tarde,Soleado,28.9,Premium,15,Si,Alta
Lunes,Mañana,Lluvioso,10.7,Premium,8,No,Media
Viernes,Tarde,Lluvioso,22.4,Premium,13,No,Media
Viernes,Mañana,Lluvioso,13.4,Basico,1,Si,Baja
Jueves,Tarde,Soleado,25.1,Basico,10,No,Alta
Miercoles,Noche,Soleado,24.0,Premium,18,Si,Alta
Lunes,Tarde,Nublado,28.4,Completo,4,Si,Media
Sabado,Mañana,Lluvioso,20.6,Completo,10,Si,Alta
Lunes,Mañana,Nublado,15.4,Basico,17,No,Media
Jueves,Mañana,Nublado,25.7,Completo,5,No,Media
Lunes,Mañana,Nublado,24.5,Completo,14,No,Media
Domingo,Tarde,Soleado,34.7,Premium,6,Si,Alta
Jueves,Noche,Soleado,32.3,Basico,0,No,Media
Domingo,Mañana,Soleado,31.3,Completo,1,No,Media
Jueves,Noche,Lluvioso,15.4,Completo,6,Si,Media
Viernes,Tarde,Soleado,21.5,Completo,4,Si,Alta
Miercoles,Noche,Soleado,33.3,Premium,7,No,Alta
Martes,Mañana,Lluvioso,14.1,Basico,3,No,Baja
Jueves,Noche,Lluvioso,16.1,Basico,8,No,Media
Viernes,Tarde,Soleado,31.8,Completo,16,No,Alta
Martes,Noche,Nublado,18.6,Completo,12,No,Media
Jueves,Tarde,Lluvioso,24.5,Basico,9,Si,Alta
Miercoles,Tarde,Nublado,18.1,Completo,12,No,Baja
Jueves,Noche,Soleado,25.1,Premium,7,No,Alta
Martes,Tarde,Soleado,29.6,Basico,6,No,Alta
Martes,Noche,Lluvioso,20.2,Basico,9,Si,Media
Miercoles,Tarde,Lluvioso,22.6,Premium,1,Si,Media
Jueves,Noche,Lluvioso,23.8,Basico,19,Si,Alta
Sabado,Mañana,Nublado,23.7,Completo,9,Si,Media
Viernes,Mañana,Lluvioso,19.3,Completo,3,Si,Media
Martes,Noche,Soleado,21.0,Basico,20,No,Alta
Miercoles,Noche,Nublado,16.6,Premium,1,No,Baja
Miercoles,Noche,Soleado,33.3,Completo,10,Si,Media
Sabado,Tarde,Nublado,18.6,Premium,1,No,Media
Miercoles,Tarde,Nublado,25.3,Premium,20,Si,Alta
Domingo,Mañana,Soleado,24.6,Completo,16,No,Alta
Miercoles,Tarde,Lluvioso,23.2,Completo,6,No,Media
Jueves,Noche,Nublado,24.7,Basico,11,Si,Media
Viernes,Mañana,Soleado,31.2,Completo,17,No,Media
Lunes,Noche,Nublado,24.8,Completo,11,Si,Media
Sabado,Mañana,Lluvioso,22.5,Premium,9,No,Baja
Viernes,Mañana,Soleado,31.7,Premium,5,Si,Alta
Lunes,Tarde,Lluvioso,15.4,Premium,15,Si,Alta
Domingo,Mañana,Soleado,30.9,Completo,16,No,Alta
Viernes,Tarde,Nublado,21.0,Completo,0,No,Media
Martes,Tarde,Nublado,27.6,Premium,4,No,Media
Lunes,Tarde,Nublado,21.3,Premium,19,No,Media
Miercoles,Noche,Lluvioso,16.1,Basico,9,No,Media
Jueves,Tarde,Soleado,29.9,Completo,6,No,Media
Martes,Tarde,Soleado,23.6,Completo,16,Si,Alta
Martes,Tarde,Soleado,30.3,Premium,7,No,Alta
Jueves,Mañana,Nublado,22.3,Basico,5,Si,Media
Jueves,Noche,Soleado,34.1,Completo,11,Si,Alta
